branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,14.4103,1.3530,18.8838,20.2655,26.4405,19.0307,15.3754,20.8448,20.0241
1,14.4103,0.0000,14.3844,23.3977,24.8549,29.9500,23.8323,17.7229,24.0520,24.5985
2,1.3530,14.3844,0.0000,19.8213,20.6314,27.0927,19.7166,16.2963,21.5096,20.7401
3,18.8838,23.3977,19.8213,0.0000,16.7187,21.7064,24.3769,19.3961,21.0272,15.7187
4,20.2655,24.8549,20.6314,16.7187,0.0000,22.7798,25.2048,22.2276,19.1863,17.6704
5,26.4405,29.9500,27.0927,21.7064,22.7798,0.0000,30.8693,27.2948,26.3514,21.0067
6,19.0307,23.8323,19.7166,24.3769,25.2048,30.8693,0.0000,23.0776,26.4596,24.9703
7,15.3754,17.7229,16.2963,19.3961,22.2276,27.2948,23.0776,0.0000,22.5032,20.6687
8,20.8448,24.0520,21.5096,21.0272,19.1863,26.3514,26.4596,22.5032,0.0000,21.3792
9,20.0241,24.5985,20.7401,15.7187,17.6704,21.0067,24.9703,20.6687,21.3792,0.0000
