branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,17.9430,17.9305,25.5560,20.9700,17.8326,19.3845,21.9775,15.5167,19.1080,26.7369,18.8749
1,17.9430,0.0000,13.8299,23.6333,17.9136,18.5594,17.8555,19.0585,14.9404,18.5151,24.1252,16.1392
2,17.9305,13.8299,0.0000,23.2436,18.1803,15.5461,15.8816,20.9372,14.6216,16.5067,22.7027,14.2654
3,25.5560,23.6333,23.2436,0.0000,19.4179,18.9794,18.3022,9.3410,12.7856,19.4644,26.7596,22.5989
4,20.9700,17.9136,18.1803,19.4179,0.0000,5.7652,15.7788,15.4663,14.7526,17.4665,23.9768,18.3732
5,17.8326,18.5594,15.5461,18.9794,5.7652,0.0000,13.9762,15.4394,12.6247,15.1911,24.4586,17.0985
6,19.3845,17.8555,15.8816,18.3022,15.7788,13.9762,0.0000,11.5483,10.3905,16.2887,23.9564,16.5034
7,21.9775,19.0585,20.9372,9.3410,15.4663,15.4394,11.5483,0.0000,8.6355,16.4990,25.9988,18.4213
8,15.5167,14.9404,14.6216,12.7856,14.7526,12.6247,10.3905,8.6355,0.0000,10.2116,23.1225,14.7589
9,19.1080,18.5151,16.5067,19.4644,17.4665,15.1911,16.2887,16.4990,10.2116,0.0000,23.4523,16.7809
10,26.7369,24.1252,22.7027,26.7596,23.9768,24.4586,23.9564,25.9988,23.1225,23.4523,0.0000,22.7583
11,18.8749,16.1392,14.2654,22.5989,18.3732,17.0985,16.5034,18.4213,14.7589,16.7809,22.7583,0.0000
