branch_id,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0000,16.3926,18.3207,24.3488,25.4438,15.4811,16.6320,22.5349,22.0612,16.5943,11.2944,11.3100,20.6407
1,16.3926,0.0000,23.5896,24.4115,26.1028,22.3039,23.5713,21.3076,26.3574,21.0211,19.3730,18.9574,27.9260
2,18.3207,23.5896,0.0000,18.8367,20.9035,21.5737,21.8383,21.9277,22.3915,22.7802,20.4183,18.4753,33.5534
3,24.3488,24.4115,18.8367,0.0000,19.3262,24.5797,20.7183,24.8012,24.6973,23.3292,22.5183,19.6041,36.1613
4,25.4438,26.1028,20.9035,19.3262,0.0000,23.3763,24.6703,24.5112,25.5053,29.0658,23.8542,20.6378,39.3338
5,15.4811,22.3039,21.5737,24.5797,23.3763,0.0000,22.0065,23.2644,25.2190,10.1163,17.0500,16.0047,29.8349
6,16.6320,23.5713,21.8383,20.7183,24.6703,22.0065,0.0000,20.3836,24.0798,23.3750,20.0661,17.5850,29.9166
7,22.5349,21.3076,21.9277,24.8012,24.5112,23.2644,20.3836,0.0000,23.9233,24.6931,20.7145,19.1418,31.6705
8,22.0612,26.3574,22.3915,24.6973,25.5053,25.2190,24.0798,23.9233,0.0000,25.3465,21.6004,20.6518,33.2887
9,16.5943,21.0211,22.7802,23.3292,29.0658,10.1163,23.3750,24.6931,25.3465,0.0000,18.1245,17.9060,28.6078
10,11.2944,19.3730,20.4183,22.5183,23.8542,17.0500,20.0661,20.7145,21.6004,18.1245,0.0000,3.7618,16.4070
11,11.3100,18.9574,18.4753,19.6041,20.6378,16.0047,17.5850,19.1418,20.6518,17.9060,3.7618,0.0000,19.6081
12,20.6407,27.9260,33.5534,36.1613,39.3338,29.8349,29.9166,31.6705,33.2887,28.6078,16.4070,19.6081,0.0000
