branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,2.7893,12.1421,16.5528,27.0447,24.9695,24.3182,24.0570,17.9689,18.8125
1,2.7893,0.0000,12.7452,14.8385,26.4620,24.4873,23.2918,23.0802,18.0720,18.3433
2,12.1421,12.7452,0.0000,15.9438,26.3391,23.2148,25.6025,25.0771,16.9146,17.1585
3,16.5528,14.8385,15.9438,0.0000,25.1714,26.2634,26.3287,24.6275,14.3817,19.4034
4,27.0447,26.4620,26.3391,25.1714,0.0000,28.0135,30.8532,31.1329,25.2608,26.9380
5,24.9695,24.4873,23.2148,26.2634,28.0135,0.0000,29.8514,29.4866,25.1891,23.4733
6,24.3182,23.2918,25.6025,26.3287,30.8532,29.8514,0.0000,28.0508,27.8267,26.2332
7,24.0570,23.0802,25.0771,24.6275,31.1329,29.4866,28.0508,0.0000,25.8218,25.7234
8,17.9689,18.0720,16.9146,14.3817,25.2608,25.1891,27.8267,25.8218,0.0000,19.8769
9,18.8125,18.3433,17.1585,19.4034,26.9380,23.4733,26.2332,25.7234,19.8769,0.0000
