branch_id,0,1,2,3,4,5,6,7,8,9,10
0,0.0000,19.3245,18.8161,18.1686,18.4530,21.9679,26.1617,21.5256,25.6842,25.2586,27.5171
1,19.3245,0.0000,11.5833,17.3531,10.7101,27.4725,24.8288,23.7734,27.7031,25.2905,29.4228
2,18.8161,11.5833,0.0000,11.1562,5.0067,22.4011,23.1341,18.5918,23.2716,21.5231,26.0942
3,18.1686,17.3531,11.1562,0.0000,10.7212,22.6840,22.8230,21.5623,24.2988,21.5674,25.7787
4,18.4530,10.7101,5.0067,10.7212,0.0000,22.0224,23.0849,20.0917,24.2047,18.9759,26.1843
5,21.9679,27.4725,22.4011,22.6840,22.0224,0.0000,22.9576,23.0463,22.9420,23.5218,22.2789
6,26.1617,24.8288,23.1341,22.8230,23.0849,22.9576,0.0000,15.0963,17.2608,19.9295,20.7972
7,21.5256,23.7734,18.5918,21.5623,20.0917,23.0463,15.0963,0.0000,17.9779,18.9902,21.0058
8,25.6842,27.7031,23.2716,24.2988,24.2047,22.9420,17.2608,17.9779,0.0000,19.9208,20.9779
9,25.2586,25.2905,21.5231,21.5674,18.9759,23.5218,19.9295,18.9902,19.9208,0.0000,21.1618
10,27.5171,29.4228,26.0942,25.7787,26.1843,22.2789,20.7972,21.0058,20.9779,21.1618,0.0000
