branch_id,0,1,2,3,4,5,6,7,8,9,10
0,0.0000,21.9167,17.8783,14.8910,19.8693,21.3159,25.6096,21.0964,26.4221,24.5218,28.4139
1,21.9167,0.0000,13.9019,18.2465,15.5793,27.8172,27.4008,25.1931,29.4882,25.8682,33.5975
2,17.8783,13.9019,0.0000,6.7826,6.8703,22.8520,22.3391,20.7657,25.6459,21.5859,28.0092
3,14.8910,18.2465,6.7826,0.0000,8.6000,19.6286,21.4681,19.3935,22.0811,18.8823,26.0785
4,19.8693,15.5793,6.8703,8.6000,0.0000,22.1842,25.3887,20.3289,25.8195,20.7441,28.8042
5,21.3159,27.8172,22.8520,19.6286,22.1842,0.0000,23.1567,22.1348,23.0496,22.1788,23.1023
6,25.6096,27.4008,22.3391,21.4681,25.3887,23.1567,0.0000,16.0344,18.9139,20.8582,24.1830
7,21.0964,25.1931,20.7657,19.3935,20.3289,22.1348,16.0344,0.0000,19.2320,19.9347,24.1224
8,26.4221,29.4882,25.6459,22.0811,25.8195,23.0496,18.9139,19.2320,0.0000,20.8455,24.6064
9,24.5218,25.8682,21.5859,18.8823,20.7441,22.1788,20.8582,19.9347,20.8455,0.0000,24.2223
10,28.4139,33.5975,28.0092,26.0785,28.8042,23.1023,24.1830,24.1224,24.6064,24.2223,0.0000
